stopword_clean_content,intensity,stopword_clean_count,segmented_content,expanded_content,spell_checked_content,stem_lemma_content,stem_lemma_count
sometimes angry hurt theres big difference,angriness,6,sometimes angry hurt theres big difference,sometimes angry hurt theres big difference,sometimes angry hurt there big difference,sometim angri hurt there big differ,6
available busy people,angriness,3,available busy people,available busy people,available busy people,avail busi peopl,3
exist impress world exist live life way make happy,angriness,9,exist impress world exist live life way make happy,exist impress world exist live life way make happy,exist impress world exist live life way make happy,exist impress world live life way make happi,8
everything getting expensive except people getting cheaper,angriness,7,everything getting expensive except people getting cheaper,everything getting expensive except people getting cheaper,everything getting expensive except people getting cheaper,everyth get expens except peopl cheaper,6
phone screen brighter future,angriness,4,phone screen brighter future,phone screen brighter future,phone screen brighter future,phone screen brighter futur,4
anger feeling makes mouth work faster mind,angriness,7,anger feeling makes mouth work faster mind,anger feeling makes mouth work faster mind,anger feeling makes mouth work faster mind,anger feel make mouth work faster mind,7
man man man good man way man man keep man man idiot man busy man man man seconds man read without man,angriness,22,man man man good man way man man keep man man idiot man busy man man man seconds man read without man,man man man good man way man man keep man man idiot man busy man man man seconds man read without man,man man man good man way man man keep man man idiot man busy man man man seconds man read without man,man good way keep idiot busi second read without,9
sometimes best way get someones attention stop giving,angriness,8,sometimes best way get someones attention stop giving,sometimes best way get someones attention stop giving,sometimes best way get someone attention stop giving,sometim best way get someon attent stop give,8
people like bring past present future look better,angriness,8,people like bring past present future look better,people like bring past present future look better,people like bring past present future look better,peopl like bring past present futur look better,8
wakeupjobnoluvdaarusleeprepeat,angriness,1,wake up job no luv daar usleep repeat,wake up job no love daar usleep repeat,wake up job no love dear usleep repeat,wake up job no love dear usleep repeat,8
haters thanks making famous dont give talk behind back,angriness,9,haters thanks making famous dont give talk behind back,haters thanks making famous do not give talk behind back,haters thanks making famous do not give talk behind back,hater thank make famous do not give talk behind back,10
hurts worst person made feel special yesterday makes feel unwanted today,angriness,11,hurts worst person made feel special yesterday makes feel unwanted today,hurts worst person made feel special yesterday makes feel unwanted today,hurts worst person made feel special yesterday makes feel unwanted today,hurt worst person made feel special yesterday make unwant today,10
life short dont waste reading whatsapp status,angriness,7,life short dont waste reading what sapp status,life short do not waste reading what sapp status,life short do not waste reading what sapp status,life short do not wast read what sapp status,9
treated way treat would hate guts,angriness,6,treated way treat would hate guts,treated way treat would hate guts,treated way treat would hate guts,treat way treat would hate gut,6
girls like potato chipsyou cant,angriness,5,girls like potato chips you cant,girls like potato chips you cannot,girls like potato chips you can not,girl like potato chip you can not,7
asked life would sacrificed smile youve stripped pride,angriness,8,asked life would sacrificed smile youve stripped pride,asked life would sacrificed smile you have stripped pride,asked life would sacrificed smile you have stripped pride,ask life would sacrif smile you have strip pride,9
people always miss find much happier without,angriness,7,people always miss find much happier without,people always miss find much happier without,people always miss find much happier without,peopl alway miss find much happier without,7
people change reasons learned lot hurt many times,angriness,8,people change reasons learned lot hurt many times,people change reasons learned lot hurt many times,people change reasons learned lot hurt many times,peopl chang reason learn lot hurt mani time,8
fail feels shame steps away success,angriness,6,fail feels shame steps away success,fail feels shame steps away success,fail feels shame steps away success,fail feel shame step away success,6
get betrayed people never thought,angriness,5,get betrayed people never thought,get betrayed people never thought,get betrayed people never thought,get betray peopl never thought,5
ass ever get jealous shit comes mouth,angriness,7,ass ever get jealous shit comes mouth,ass ever get jealous shit comes mouth,ass ever get jealous shit comes mouth,as ever get jealous shit come mouth,7
give lots importance someone loss importance life,angriness,7,give lots importance someone loss importance life,give lots importance someone loss importance life,give lots importance someone loss importance life,give lot import someon loss life,6
solutions focus negative,angriness,3,solutions focus negative,solutions focus negative,solutions focus negative,solut focus negat,3
every negative positive find utilize,angriness,5,every negative positive find utilize,every negative positive find utilize,every negative positive find utilize,everi negat posit find util,5
always focus negative never see positive,angriness,6,always focus negative never see positive,always focus negative never see positive,always focus negative never see positive,alway focus negat never see posit,6
negativity cancer soul spreads like flu,angriness,6,negativity cancer soul spreads like flu,negativity cancer soul spreads like flu,nativity cancer soul spreads like fly,nativ cancer soul spread like fli,6
realized powerful thoughts would never think negative thought,angriness,8,realized powerful thoughts would never think negative thought,realized powerful thoughts would never think negative thought,realized powerful thoughts would never think negative thought,realiz power thought would never think negat thought,8
life give lemons squeeze peoples eyes,angriness,6,life give lemons squeeze peoples eyes,life give lemons squeeze peoples eyes,life give lemons squeeze peoples eyes,life give lemon squeez peopl eye,6
take nice long shit dont stress,angriness,6,take nice long shit dont stress,take nice long shit do not stress,take nice long shit do not stress,take nice long shit do not stress,7
dont disturb disturbed enough already,angriness,5,dont disturb disturbed enough already,do not disturb disturbed enough already,do not disturb disturbed enough already,do not disturb disturb enough alreadi,6
please dont interrupt ignoring,angriness,4,please dont interrupt ignoring,please do not interrupt ignoring,please do not interrupt ignoring,plea do not interrupt ignor,5
stop letting world change change world,angriness,6,stop letting world change change world,stop letting world change change world,stop letting world change change world,stop let world chang,4
think things looking comes fuck fairy cant things right change,angriness,10,think things looking comes fuck fairy cant things right change,think things looking comes fuck fairy cannot things right change,think things looking comes fuck fairy can not things right change,think thing look come fuck fairi can not right chang,10
looking past yeahalot hurt know made stronger,angriness,7,looking past yeah a lot hurt know made stronger,looking past yeah a lot hurt know made stronger,looking past yeah a lot hurt know made stronger,look past yeah a lot hurt know made stronger,9
talk behind back afraid say things face,angriness,7,talk behind back afraid say things face,talk behind back afraid say things face,talk behind back afraid say things face,talk behind back afraid say thing face,7
ever want talk elevator,angriness,4,ever want talk elevator,ever want talk elevator,ever want talk elevator,ever want talk elev,4
heard said listen better next time,angriness,6,heard said listen better next time,heard said listen better next time,heard said listen better next time,heard said listen better next time,6
think assume next time dont quick judge youll never know like shoes,angriness,12,think assume next time dont quick judge youll never know like shoes,think assume next time do not quick judge you will never know like shoes,think assume next time do not quick judge you will never know like shoes,think assum next time do not quick judg you will never know like shoe,14
wishing people would understand,angriness,4,wishing people would understand,wishing people would understand,wishing people would understand,wish peopl would understand,4
ahead ignore play game probably better,angriness,6,ahead ignore play game probably better,ahead ignore play game probably better,ahead ignore play game probably better,ahead ignor play game probabl better,6
time disrespectful immature selfish individuals,angriness,5,time disrespectful immature selfish individuals,time disrespectful immature selfish individuals,time disrespectful immature selfish individuals,time disrespect immatur selfish individu,5
ever notice people saying hate drama start doesnt make sense,angriness,10,ever notice people saying hate drama start doesnt make sense,ever notice people saying hate drama start does not make sense,ever notice people saying hate drama start does not make sense,ever notic peopl say hate drama start doe not make sen,11
wondering certain people work annoying comes naturally,angriness,7,wondering certain people work annoying comes naturally,wondering certain people work annoying comes naturally,wondering certain people work annoying comes naturally,wonder certain peopl work annoy come natur,7
people work hard dont get creditthe people nothing get everything,angriness,10,people work hard dont get credit the people nothing get everything,people work hard do not get credit the people nothing get everything,people work hard do not get credit the people nothing get everything,peopl work hard do not get credit the noth everyth,10
people like trees take forever grow,angriness,6,people like trees take forever grow,people like trees take forever grow,people like trees take forever grow,peopl like tree take forev grow,6
fake bet look bottom foot say made china,angriness,8,fake bet look bottom foot say made china,fake bet look bottom foot say made china,fake bet look bottom foot say made china,fake bet look bottom foot say made china,8
life short let people get cant handle dont need life,angriness,10,life short let people get cant handle dont need life,life short let people get cannot handle do not need life,life short let people get can not handle do not need life,life short let peopl get can not handl do need,10
dont care others think care think,angriness,6,dont care others think care think,do not care others think care think,do not care others think care think,do not care other think,5
people selfish days,angriness,3,people selfish days,people selfish days,people selfish days,peopl selfish day,3
dont tell change cant perfect anymore,angriness,6,dont tell change cant perfect anymore,do not tell change cannot perfect anymore,do not tell change can not perfect anymore,do not tell chang can perfect anymor,7
killed left good,angriness,3,killed left good,killed left good,killed left good,kill left good,3
never dreamed success worked,angriness,4,never dreamed success worked,never dreamed success worked,never dreamed success worked,never dream success work,4
dont like remember mind matter dont mind dont matter,angriness,9,dont like remember mind matter dont mind dont matter,do not like remember mind matter do not mind do not matter,do not like remember mind matter do not mind do not matter,do not like rememb mind matter,6
original worth copy,angriness,3,original worth copy,original worth copy,original worth copy,origin worth copi,3
yes selfish dont want share people,angriness,6,yes selfish dont want share people,yes selfish do not want share people,yes selfish do not want share people,yes selfish do not want share peopl,7
selfish comes,angriness,2,selfish comes,selfish comes,selfish comes,selfish come,2
done like dont care think,angriness,5,done like dont care think,done like do not care think,done like do not care think,done like do not care think,6
approval isnt needed,angriness,3,approval isnt needed,approval is not needed,approval is not needed,approv is not need,4
rather hated real loved fake,angriness,5,rather hated real loved fake,rather hated real loved fake,rather hated real loved fake,rather hate real love fake,5
good youre youve got,angriness,4,good your e you ve got,good your e you ve got,good your e you ve got,good your e you ve got,6
simple complex generous selfish unattractive beautiful lazy driven,angriness,8,simple complex generous selfish unattractive beautiful lazy driven,simple complex generous selfish unattractive beautiful lazy driven,simple complex generous selfish unattractive beautiful lazy driven,simpl complex generous selfish unattract beauti lazi driven,8
beauty captures attention personality captures heart,angriness,6,beauty captures attention personality captures heart,beauty captures attention personality captures heart,beauty captures attention personality captures heart,beauti captur attent person heart,5
left without reason please dont come back excuse,angriness,8,left without reason please dont come back excuse,left without reason please do not come back excuse,left without reason please do not come back excuse,left without reason plea do not come back excus,9
born express impress,angriness,3,born express impress,born express impress,born express impress,born express impress,3
ego speaks attitude replies,angriness,4,ego speaks attitude replies,ego speaks attitude replies,ego speaks attitude replies,ego speak attitud repli,4
judge make sure youre perfect,angriness,5,judge make sure your e perfect,judge make sure your e perfect,judge make sure your e perfect,judg make sure your e perfect,6
dont treat people badly treat accordingly,angriness,6,dont treat people badly treat accordingly,do not treat people badly treat accordingly,do not treat people badly treat accordingly,do not treat peopl bad accord,6
life rulethats attitude,angriness,3,life rule thats attitude,life rule thats attitude,life rule that attitude,life rule that attitud,4
dont want dont fuck feelings,angriness,5,dont want dont fuck feelings,do not want do not fuck feelings,do not want do not fuck feelings,do not want fuck feel,5
never love someone cost dignity self respect,angriness,7,never love someone cost dignity self respect,never love someone cost dignity self respect,never love someone cost dignity self respect,never love someon cost digniti self respect,7
