stopword_clean_content,intensity,stopword_clean_count
sometimes angry hurt theres big difference,angriness,6
available busy people,angriness,3
exist impress world exist live life way make happy,angriness,9
everything getting expensive except people getting cheaper,angriness,7
phone screen brighter future,angriness,4
anger feeling makes mouth work faster mind,angriness,7
man man man good man way man man keep man man idiot man busy man man man seconds man read without man,angriness,22
sometimes best way get someones attention stop giving,angriness,8
people like bring past present future look better,angriness,8
wakeupjobnoluvdaarusleeprepeat,angriness,1
haters thanks making famous dont give talk behind back,angriness,9
hurts worst person made feel special yesterday makes feel unwanted today,angriness,11
life short dont waste reading whatsapp status,angriness,7
treated way treat would hate guts,angriness,6
girls like potato chipsyou cant,angriness,5
asked life would sacrificed smile youve stripped pride,angriness,8
people always miss find much happier without,angriness,7
people change reasons learned lot hurt many times,angriness,8
fail feels shame steps away success,angriness,6
get betrayed people never thought,angriness,5
ass ever get jealous shit comes mouth,angriness,7
give lots importance someone loss importance life,angriness,7
solutions focus negative,angriness,3
every negative positive find utilize,angriness,5
always focus negative never see positive,angriness,6
negativity cancer soul spreads like flu,angriness,6
realized powerful thoughts would never think negative thought,angriness,8
life give lemons squeeze peoples eyes,angriness,6
take nice long shit dont stress,angriness,6
dont disturb disturbed enough already,angriness,5
please dont interrupt ignoring,angriness,4
stop letting world change change world,angriness,6
think things looking comes fuck fairy cant things right change,angriness,10
looking past yeahalot hurt know made stronger,angriness,7
talk behind back afraid say things face,angriness,7
ever want talk elevator,angriness,4
heard said listen better next time,angriness,6
think assume next time dont quick judge youll never know like shoes,angriness,12
wishing people would understand,angriness,4
ahead ignore play game probably better,angriness,6
time disrespectful immature selfish individuals,angriness,5
ever notice people saying hate drama start doesnt make sense,angriness,10
wondering certain people work annoying comes naturally,angriness,7
people work hard dont get creditthe people nothing get everything,angriness,10
people like trees take forever grow,angriness,6
fake bet look bottom foot say made china,angriness,8
life short let people get cant handle dont need life,angriness,10
dont care others think care think,angriness,6
people selfish days,angriness,3
dont tell change cant perfect anymore,angriness,6
killed left good,angriness,3
never dreamed success worked,angriness,4
dont like remember mind matter dont mind dont matter,angriness,9
original worth copy,angriness,3
yes selfish dont want share people,angriness,6
selfish comes,angriness,2
done like dont care think,angriness,5
approval isnt needed,angriness,3
rather hated real loved fake,angriness,5
good youre youve got,angriness,4
simple complex generous selfish unattractive beautiful lazy driven,angriness,8
beauty captures attention personality captures heart,angriness,6
left without reason please dont come back excuse,angriness,8
born express impress,angriness,3
ego speaks attitude replies,angriness,4
judge make sure youre perfect,angriness,5
dont treat people badly treat accordingly,angriness,6
life rulethats attitude,angriness,3
dont want dont fuck feelings,angriness,5
never love someone cost dignity self respect,angriness,7
beauty skin deepattitude bone,angriness,4
treated like option left like choice,angriness,6
ways happy change situation change mindset towards,angriness,7
attitude may hurt mine kill,angriness,5
private person dont ask dont tell,angriness,6
toy,angriness,1
sometimes want treat people treat dont character,angriness,7
ever think ignoring swear phone hand,angriness,6
take care status dont care taker status,angriness,7
hold hand put hands pocket continue walk,angriness,7
dont afraid outnumbered eagles fly alone pigeons flock together,angriness,9
wont change anyone,angriness,3
dont care people dont care,angriness,5
nobody teach,angriness,2
yes smiling youre reason anymore,angriness,5
choose lose backup plan definitely second choice,angriness,7
dont crazy crazy normal time time,angriness,6
never never never never give,angriness,5
theres difference somebody wants somebody would anything keep remember,angriness,9
dont enough middle fingers show feel,angriness,6
yes changed pain people,angriness,4
